ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
1591026997,9781591026990,Cyberabad Days,Ian McDonald,Paperback,Pyr,2009-02-24,Read,2009-03-14,2009-02-24 13:54:11 -0700,"",true,5.0,
,,America at Home,"Rick Smolan, Jennifer Erwitt",Hardcover,Running Press,2008-03-24,Read,2009-01-25,2009-01-25 18:24:18 -0700,"",true,4.0,
0465002218,9780465002214,"The 10,000 Year Explosion: How Civilization Accelerated Human Evolution","Gregory Cochran, Henry Harpending",Hardcover,Basic Books,2009-01-26,Read,2009-02-26,2009-01-22 20:05:38 -0700,"",false,4.0,"This is a GREAT book, but in parts. My favourite chapters in the book are the last two where the authors take about human expansion, and the extraordinary intelligence of the Ashkenazi.

The book was a bit dense in the parts where the authors deal with core genetics, and start talking about alleles. But I think the reader can safely skip those parts and still gain some interesting insights."
0817441816,9780817441814,"Learning to See Creatively: Design, Color & Composition in Photography (Updated Edition)",Bryan Peterson,Paperback,Amphoto Books,2003-10-01,Read,2008-12-05,2008-11-18 08:58:12 -0700,"",false,,
0817463003,9780817463007,Understanding Exposure: How to Shoot Great Photographs with a Film or Digital Camera (Updated Edition),Bryan Peterson,Paperback,Amphoto Books,,Read,2008-11-18,2008-11-18 08:41:36 -0700,"",false,,
1591841666,9781591841661,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,Hardcover,Portfolio Hardcover,2007-05-10,Read,2008-11-17,2008-11-17 20:30:57 -0700,"",false,,
1845974751,9781845974756,Quick Breads,Linda Collister,Hardcover,Ryland Peters & Small,2007-08,Read,2008-11-17,2008-11-17 20:30:16 -0700,"",false,,
0321385438,9780321385437,The Adobe Photoshop Lightroom Book: The Complete Guide for Photographers,Martin Evening,Paperback,Adobe Press,2007-03-13,Read,2008-11-17,2008-11-17 20:29:43 -0700,"",false,,
1861083300,9781861083302,"Rangefinder: Equipment, History, Techniques","Roger Hicks, Frances Schultz",Hardcover,Guild of Master Craftsman,2003-10-28,Read,2008-11-18,2008-11-15 23:00:40 -0700,"",false,,
,,"Why Beautiful People Have More Daughters: From Dating, Shopping, and Praying to Going to War and Becoming a Billionaire-- Two Evolutionary Psychologists Explain Why We Do What We Do","Alan S. Miller, Satoshi Kanazawa",Hardcover,Perigee Trade,2007-09-04,Read,2009-02-16,2008-10-20 23:54:33 -0700,"",false,,
031253664X,9780312536640,The Music Room: A Memoir,Namita Devidayal,Hardcover,Thomas Dunne Books,2009-02-03,Read,2009-01-24,2008-10-20 04:53:57 -0700,"",false,3.0,
0805082719,9780805082715,The Big Necessity: The Unmentionable World of Human Waste and Why It Matters,Rose George,Hardcover,Metropolitan Books,2008-10-14,Read,2009-01-24,2008-10-16 08:09:42 -0700,"",false,,
1590595122,9781590595121,Pro ADO.NET 2.0,Sahil Malik,Paperback,Apress,2005-09-19,Read,2008-10-14,2008-10-14 06:08:29 -0700,"",false,,
0679722033,9780679722038,The Emperor,Ryszard Kapuscinski,Paperback,Vintage,1989-03-13,Read,2008-10-14,2008-10-14 03:23:55 -0700,"",false,,
0943940044,9780943940045,The Mystery of Banking,Murray N. Rothbard,Hardcover,E P Dutton,1983-11,Read,2008-10-12,2008-10-12 07:02:55 -0700,"",false,,
1590594398,9781590594391,Pro .NET 2.0 Windows Forms and Custom Controls in C#,Matthew MacDonald,Paperback,Apress,2005-12-15,Read,2008-12-02,2008-10-05 18:24:59 -0700,"",false,,
1416594884,9781416594888,A Most Wanted Man,John le Carre,Hardcover,Scribner,2008-10-07,Read,2008-12-02,2008-09-30 01:59:29 -0700,"",false,4.0,"This is the first John le Carre book that I have read (I have seen The Constant Gardener, but not sure if that counts in these times!). I really like non-sensationalist approach that le Carre takes in buiding a story around espionage and how the intelligence community around the world has been affected after the events of 9/11. This is in stark contrast to novel like The Afghan by Fredrick Forsyth.

The book is very well researched, and as somebody who is interested in the subtle aspects of espionage and intelligence instead of the James Bond variety, I really enjoyed it."
