"publicationTypes","zoomFactorFullScreen","year","searchResult","title","keywords","timesCited","authors","publishedDate","lastReadDate","lastReadPosition","uri","issue","pmid","timesRead","importedDate","tempAuthorString","url","affiliation","modifiedDate","volume","category","doi","flagged","zoomFactorTab","language","citeKey","rating","label","journal","zoomFactorPreview","markedDeleted","abstract","path","openAccess","pages","searchResultType",
"","","2001","0","SEDA: An architecture for well-conditioned; scalable Internet services","","649","M Welsh; D Culler; E Brewer","2001-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 207.539}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p288","","12012291446074280150related:1oi4JW07tKYJ","1","2010-10-05 00:25:44 -0700","","http://portal.acm.org/citation.cfm?id=502059.502057","","2010-10-05 00:25:44 -0700","","","","0","1.194762706756592","","Welsh:2001p288","0","","ACM SIGOPS Operating Systems …","1.193126082420349","0"," based on multiprogramming; as the focus continues to be on safe and  resource virtualization  In ; each component of the  responds to particular types of events; such driven concurrency mod- els have been studied extensively in the JAWS   [23; 24]. ","/Users/deepak/Dropbox/Papers/2001/Welsh/ACM SIGOPS Operating Systems … 2001 Welsh.pdf","0","","Google Scholar",
"","","2001","0","Paxos made simple","","232","L Lamport","2001-01-01 00:00:00 -0800","","0;{0; 792.198}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p835","","11066314785084766940related:3HqhSapyk5kJ","0","2010-10-05 00:57:46 -0700","","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.69.3093&rep=rep1&type=pdf","","2010-10-05 00:57:46 -0700","","","","0","1.192810416221619","","Lamport:2001p835","0","","ACM SIGACT News","1.191176414489746","0","The  algorithm for implementing a fault-tolerant distributed system has been regarded as difficult to understand; perhaps because the original presentation was Greek to many readers [5]. In fact; it is among the sim- plest and most obvious of distributed algorithms. At its ","/Users/deepak/Dropbox/Papers/2001/Lamport/ACM SIGACT News 2001 Lamport.pdf","0","","Google Scholar",
"","","1998","0","Locality-aware request distribution in cluster-based network servers","","642","V Pai; M Aron; G Banga; M Svendsen","1998-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","3;{-5.5; 629.099}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p702","","6427786207215593660related:vKg95X8VNFkJ","1","2010-10-05 00:42:17 -0700","","http://portal.acm.org/citation.cfm?id=291006.291048","","2010-10-05 00:42:17 -0700","","","","0","1.169871807098389","","Pai:1998p702","0","","Proceedings of the …","1.168269276618958","0"," A -  server consists of a front-end; responsible for re- quest ; and a number of back  With content-based  ; the front- end takes into account both the /content re- quested  The -   (LARD) strat- ","/Users/deepak/Dropbox/Papers/1998/Pai/Proceedings of the … 1998 Pai.pdf","0","","Google Scholar",
"","","2006","0","The Chubby lock service for loosely-coupled distributed systems","","177","M Burrows","2006-01-01 00:00:00 -0800","","0;{0; 792.347}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1026","","8227769567900586970related:2tN7VNToLnIJ","0","2010-10-05 01:04:12 -0700","","http://portal.acm.org/citation.cfm?id=1298455.1298487","","2010-10-05 01:04:12 -0700","","","","0","1.192810416221619","","Burrows:2006p1026","0","","… of the 7th symposium on Operating systems design …","1.191176414489746","0","We describe our experiences with the  ser- vice; which is intended to provide coarse-grained - ing as well as reliable (though low-volume) storage for a - .  provides an interface much like a  file  with ","/Users/deepak/Dropbox/Papers/2006/Burrows/… of the 7th symposium on Operating systems design … 2006 Burrows.pdf","0","","Google Scholar",
"","","2000","0","Scalable; distributed data structures for internet service construction","","230","S Gribble; E Brewer; J Hellerstein","2000-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.198}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p614","","14054622393235708251related:W5kQIZoMDMMJ","1","2010-10-05 00:39:51 -0700","","http://portal.acm.org/citation.cfm?id=1251251","","2010-10-05 00:39:51 -0700","","","","0","1.192810416221619","","Gribble:2000p614","0","","Proceedings of the 4th …","1.191176414489746","0","This paper presents a new persistent  manage- ment layer designed to simplify cluster-based . This self-managing layer; called a (DDS); presents a conven- tional single-site  interface to  au- thors; ","/Users/deepak/Dropbox/Papers/2000/Gribble/Proceedings of the 4th … 2000 Gribble.pdf","0","","Google Scholar",
"","","1999","0","Flash: An efficient and portable Web server","","","V Peter; P Druschel; W Zwaenepoel","1999-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 791.68}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p310","","","1","2010-10-05 00:25:54 -0700","","http://en.scientificcommons.org/42933157","","2010-10-05 00:25:54 -0700","","","","0","1.192810416221619","","Peter:1999p310","0","","en.scientificcommons.org","1.193126082420349","0","This paper presents the design of a new  architecture called the asymmetric multi-process eventdriven (AMPED) architecture; and evaluates the performance of an implementation of this architecture; the . The  combines the high ","/Users/deepak/Dropbox/Papers/1999/Peter/en.scientificcommons.org 1999 Peter.pdf","0","","Google Scholar",
"","","2007","0","On designing and deploying internet-scale services","","27","J Hamilton","2007-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.05}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1372","","13057411455897365016related:GOrguok-NbUJ","1","2010-10-05 01:14:25 -0700","","http://www.usenix.org/events/lisa07/tech/full_papers/hamilton/hamilton_html/","","2010-10-24 09:48:17 -0700","","","","0","1.192810416221619","","Hamilton:2007p1372","0","","Proceedings of LISA","1.191176","0","The system-to-administrator ratio is commonly used as a rough metric to understand administrative costs in high-scale . With smaller; less automated  this ratio can be as low as 2:1; whereas on industry leading; highly automated ; we've seen ratios as high as ","/Users/deepak/Dropbox/Papers/2007/Hamilton/Proceedings of LISA 2007 Hamilton.pdf","0","","Google Scholar",
"inproceedings","","2010","0","Turning down the LAMP: Software Specialisation for the Cloud","","","Anil Madhavapeddy; Richard Mortier; Ripduman Sohan; Thomas Gazagnaire; Steven Hand; Tim Deegan; Derek McAuley; Jon Crowcroft","","2010-10-24 11:12:14 -0700","0;{4.89712; 792.355}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p2590","","","1","2010-10-24 09:02:23 -0700","Madhavapeddy et al.","","","2010-10-24 09:02:23 -0700","","inproceedings","","0","","","madhavapeddy10hotcloud","0","cite-key madhavapeddy10hotcloud","Proceedings","1.22521","0","","/Users/deepak/Dropbox/Papers/2010/Madhavapeddy/Proceedings 2010 Madhavapeddy.pdf","0","","",
"","1.5","2003","0","Xen and the Art of Virtualization","","","Paul Barham; Boris Dragovic; Keir Fraser; Tim Harris; Rolf Neugebauer; Ian Pratt; Andrew Warfield","2003-08-12 16:59:00 -0700","","5;{0; 167.655}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1136","","675557","0","2010-10-05 01:08:25 -0700","","http://citeseer.ist.psu.edu/675557","University of Cambridge Computer Laboratory","2010-10-05 01:08:25 -0700","","","","0","1.192810416221619","eng","Barham:2003p1136","0","","","1.191176414489746","0","Numerous systems have been designed which use virtualization tosubdivide the ample resources of a modern computer. Some requirespecialized hardware; or cannot support commodity operating systems.Some target 100% binary compatibility at the expense ofperformance. Others sacrifice security or functionality for speed.Few offer resource isolation or performance guarantees; most provideonly best-effort provisioning; risking denial of service.","/Users/deepak/Dropbox/Papers/2003/Barham/2003 Barham.pdf","0","","Citeseer",
"","","1997","0","Cluster-based scalable network services","","573","A Fox; S Gribble; Y Chawathe; E Brewer","1997-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 773.729}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p609","","15493961418040566583related:N2PqtdGbBdcJ","1","2010-10-05 00:38:56 -0700","","http://portal.acm.org/citation.cfm?id=268998.266662","","2010-10-05 00:38:56 -0700","","","","0","1.192810416221619","","Fox:1997p609","0","","ACM SIGOPS …","1.191176","0","We identifit three fundamental requirements for  net- work : incremental and oveflow growth provi- sioning; 24x7 availability through fault masking; and cost- effectiveness. We argue that clusters of commodity workstations interconnected by a high- ","/Users/deepak/Dropbox/Papers/1997/Fox/ACM SIGOPS … 1997 Fox.pdf","0","","Google Scholar",
"","","2006","0","A comparison of software and hardware techniques for x86 virtualization","","239","K Adams; O Agesen","2006-01-01 00:00:00 -0800","","0;{0; 792.05}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1184","","1445139957386984283related:WzvGciIrDhQJ","0","2010-10-05 01:09:29 -0700","","http://portal.acm.org/citation.cfm?id=1168860","","2010-10-05 01:09:29 -0700","","","","0","1.192810416221619","","Adams:2006p1184","0","","… of the 12th international conference on …","1.191176","0","Until recently; the  architecture has not permitted classical trap-and-emulate . Virtual Machine Monitors for ; such as VMware R O Workstation and Virtual PC; have instead used binary translation of the guest kernel code. However; both Intel ","/Users/deepak/Dropbox/Papers/2006/Adams/… of the 12th international conference on … 2006 Adams.pdf","0","","Google Scholar",
"","","2008","0","MapReduce: Simplified data processing on large clusters","","2024","J Dean; S Ghemawat","2008-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 791.704}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1098","","13171193432274178825related:CROphqR6ybYJ","1","2010-10-05 01:07:36 -0700","","http://portal.acm.org/citation.cfm?id=1327452.1327492&coll=GUIDE&dl=&idx=J79&part=magazine&WantType=Magazines&title=Communications%20of%20the%20ACM","","2010-10-05 01:07:36 -0700","","","","0","1.192810416221619","","Dean:2008p1098","0","","Communications of the ACM","1.191176414489746","0","1 Introduction Prior to our development of ; the authors and many others at Google implemented hundreds of special-purpose computations that process  amounts of raw ; such as crawled documents; Web request logs; etc.; to compute various kinds of ","/Users/deepak/Dropbox/Papers/2008/Dean/Communications of the ACM 2008 Dean.pdf","0","","Google Scholar",
"","","2010","0","The Case for Determinism in Database Systems","","","A Thomson; D Abadi","2010-01-01 00:00:00 -0800","2010-10-10 12:17:18 -0700","0;{0; 792.396}","x-coredata://93566FB0-09BE-4F09-A323-C410AAF78866/Paper/p1313","","related:d0XyUPsFnOEJ","1","2010-10-05 01:12:26 -0700","","http://posterous.com/getfile/files.posterous.com/irr/GkzPeBvNGEkvGEkP6CMyxickK3E39NJ8sDLLF5dBX7SIDki88TQ1HJ8MPMHE/determinism-vldb10.pdf","","2010-10-05 01:12:26 -0700","","","","0","1.192810416221619","","Thomson:2010p1313","0","","Proceedings of the VLDB Endowment","1.191176414489746","0","ABSTRACT Replication is a widely used method for achieving high avail- ability in . Due to the nondeterminism in- herent in traditional concurrency control schemes; however; special care must be taken to ensure that replicas don't diverge. Log shipping; ","/Users/deepak/Dropbox/Papers/2010/Thomson/Proceedings of the VLDB Endowment 2010 Thomson.pdf","0","","Google Scholar",
